commentId,text,date
975028058,高端国窖放量增长，费用边际递减业绩超预期,10-30 15:26
975018946,酒类现在的走势有可能会形成头肩形态而且业绩季报基本上是好的有一个休复的周期且周边,10-30 15:06
975016508,蚂蚁要出来了，好惆怅……又没在175的时候卖掉[哭],10-30 15:02
975015869,什么时候能像洋河一样优秀！,10-30 15:01
975013507,白酒股的股价这两年已经炒到了天上！,10-30 14:59
975012839,白酒三季度业绩分化加剧 疫情影响正在缓解,10-30 14:58
975011182,放着吧[困顿],10-30 14:56
975009950,泸州老窖2020年三季报点评：业绩大幅超预期，国窖势能持续释放,10-30 14:53
975005401,想不明白为啥每次卖了第二天就大涨。。买了第二天就大跌呢？看来还是得长期持有才好。,10-30 14:48
975005019,星期一会红吗,10-30 14:48
975004114,能不能给点力,10-30 14:46
975000866,两天18份买入研报，也是厉害的没谁了,10-30 14:42
975000866,两天18份买入研报，也是厉害的没谁了,10-30 14:19
974979313,冲鸭，快抄底,10-30 14:18
974976458,小三的位置还不稳～,10-30 14:14
974966751,两点了你还不拉升吗,10-30 14:04
974965195,昨天就拿2手试下结果涨停,10-30 14:02
358416157,IPO被否一年后，墨迹天气变好了吗？,10-30 13:58
974959537,泸州老窖业绩点评报告：国窖表现亮眼，利润端超预期,10-30 13:56
974952850,酒类股暴跌不可避免,10-30 13:46
974950218,今天真垃圾。,10-30 13:43
974948524,大盘是要崩了吗,10-30 13:41
974938555,白酒不敢连续大涨的，资金要回去炒科创版，科技兴国市主线！所以不要做白酒天天大红色,10-30 13:27
974938555,白酒不敢连续大涨的，资金要回去炒科创版，科技兴国市主线！所以不要做白酒天天大红色,10-30 13:22
974933996,牛，昨天追的散户都被洗出来了,10-30 13:20
974933807,怎么又下降了昨天岂不是白挣啊,10-30 13:19
974933799,怎么又下降了昨天岂不是白挣啊,10-30 13:19
974931639,看看两点半能不能有奇迹[俏皮][俏皮],10-30 13:17
974930506,准备锁仓了，游资也是有成本的,10-30 13:15
974928967,慢慢上去,10-30 13:12
974928967,慢慢上去,10-30 13:12
974928703,早上买的T到了,10-30 13:12
974927038,1股不卖，1T不做，锁仓，相信泸州老窖。,10-30 13:09
974924748,下午红起,10-30 13:03
974924419,下午冲起来,10-30 13:02
974924227,白酒三季报净利增速前三山西汾酒泸州老窖五粮液比较,10-30 13:02
974922251,盛极而衰,10-30 12:54
974917179,国窑1573真香[呲牙],10-30 12:29
974914284,老窖不能做一天老三啊！加油冲虽然我没买股只卖了你重仓的鸡而已,10-30 12:16
974906672,各位大佬，现在可以买入时机合适吗,10-30 11:49
974904004,200元11月份必到。注册制白酒还是有机会，出台汽车板块有内需的。,10-30 11:41
974904255,昨天谁封的板子？不会亏吗？,10-30 11:40
974897976,泸州老窖中国白酒前三名，国窖1573供不应求，第三季度净利润200亿同步上市，市,10-30 11:29
974897976,泸州老窖中国白酒前三名，国窖1573供不应求，第三季度净利润200亿同步上市，市,10-30 11:26
974896483,咋天涨停走了，今172捡回来了,10-30 11:26
974895706,179本的当T等着呢,10-30 11:25
974888825,泸州老叫[好困惑][好困惑],10-30 11:14
111063405,美国人的成绩单来了~~,10-30 11:11
974884311,等泸州200，卢美丽留,10-30 11:09
974880498,下午肯定红,10-30 11:04
